2021-12-07 23:25:24 - INFO - saving to ./results/2021-12-07_23-25-24
2021-12-07 23:25:24 - DEBUG - run arguments: Namespace(batch_size=128, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-07_23-25-24', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-07 23:25:24 - INFO - creating model fake generator (student)
2021-12-07 23:25:25 - INFO - creating model real generator (student)
2021-12-07 23:25:26 - INFO - number of parameters: 11094154
2021-12-07 23:25:28 - INFO - TRAINING - Epoch: [0][0/391]	Time 1.110 (1.110)	Data 0.193 (0.193)	Loss 2.3615 (2.3615)	Prec@1 10.156 (10.156)	Prec@5 53.906 (53.906)
2021-12-07 23:25:29 - INFO - TRAINING - Epoch: [0][10/391]	Time 0.136 (0.221)	Data 0.000 (0.018)	Loss 2.4340 (2.3889)	Prec@1 15.625 (11.648)	Prec@5 46.094 (51.065)
2021-12-07 23:25:30 - INFO - TRAINING - Epoch: [0][20/391]	Time 0.136 (0.180)	Data 0.000 (0.009)	Loss 2.7235 (2.4597)	Prec@1 10.156 (11.347)	Prec@5 47.656 (50.781)
2021-12-07 23:25:32 - INFO - TRAINING - Epoch: [0][30/391]	Time 0.134 (0.166)	Data 0.000 (0.006)	Loss 2.6795 (2.5016)	Prec@1 10.156 (11.442)	Prec@5 56.250 (52.394)
2021-12-07 23:25:33 - INFO - TRAINING - Epoch: [0][40/391]	Time 0.136 (0.158)	Data 0.000 (0.005)	Loss 2.5122 (2.5332)	Prec@1 14.062 (11.547)	Prec@5 70.312 (54.059)
2021-12-07 23:25:35 - INFO - TRAINING - Epoch: [0][50/391]	Time 0.136 (0.154)	Data 0.000 (0.004)	Loss 2.7444 (2.5560)	Prec@1 17.188 (12.071)	Prec@5 58.594 (55.132)
2021-12-07 23:25:36 - INFO - TRAINING - Epoch: [0][60/391]	Time 0.137 (0.151)	Data 0.000 (0.003)	Loss 2.6341 (2.5735)	Prec@1 17.969 (12.590)	Prec@5 59.375 (56.019)
2021-12-07 23:25:37 - INFO - TRAINING - Epoch: [0][70/391]	Time 0.135 (0.149)	Data 0.000 (0.003)	Loss 2.7344 (2.5710)	Prec@1 14.844 (13.138)	Prec@5 57.031 (57.339)
2021-12-07 23:25:39 - INFO - TRAINING - Epoch: [0][80/391]	Time 0.135 (0.147)	Data 0.000 (0.002)	Loss 2.5530 (2.5614)	Prec@1 14.062 (13.542)	Prec@5 71.875 (58.632)
2021-12-07 23:25:40 - INFO - TRAINING - Epoch: [0][90/391]	Time 0.135 (0.146)	Data 0.000 (0.002)	Loss 2.2593 (2.5510)	Prec@1 21.875 (14.020)	Prec@5 71.875 (59.598)
2021-12-07 23:25:41 - INFO - TRAINING - Epoch: [0][100/391]	Time 0.135 (0.145)	Data 0.000 (0.002)	Loss 2.3508 (2.5355)	Prec@1 22.656 (14.581)	Prec@5 65.625 (60.442)
2021-12-07 23:25:43 - INFO - TRAINING - Epoch: [0][110/391]	Time 0.137 (0.144)	Data 0.000 (0.002)	Loss 2.2985 (2.5240)	Prec@1 17.188 (14.963)	Prec@5 75.781 (61.423)
2021-12-07 23:25:44 - INFO - TRAINING - Epoch: [0][120/391]	Time 0.136 (0.143)	Data 0.000 (0.002)	Loss 2.3193 (2.5111)	Prec@1 17.188 (15.102)	Prec@5 75.000 (62.248)
2021-12-07 23:25:45 - INFO - TRAINING - Epoch: [0][130/391]	Time 0.135 (0.143)	Data 0.000 (0.002)	Loss 2.4441 (2.4960)	Prec@1 14.844 (15.416)	Prec@5 72.656 (63.096)
2021-12-07 23:25:47 - INFO - TRAINING - Epoch: [0][140/391]	Time 0.135 (0.142)	Data 0.000 (0.001)	Loss 2.4034 (2.4818)	Prec@1 20.312 (15.797)	Prec@5 68.750 (63.741)
2021-12-07 23:25:48 - INFO - TRAINING - Epoch: [0][150/391]	Time 0.137 (0.142)	Data 0.000 (0.001)	Loss 2.2318 (2.4665)	Prec@1 18.750 (16.117)	Prec@5 71.094 (64.388)
2021-12-07 23:25:49 - INFO - TRAINING - Epoch: [0][160/391]	Time 0.138 (0.142)	Data 0.000 (0.001)	Loss 2.1321 (2.4501)	Prec@1 22.656 (16.338)	Prec@5 75.781 (64.984)
2021-12-07 23:25:51 - INFO - TRAINING - Epoch: [0][170/391]	Time 0.134 (0.141)	Data 0.000 (0.001)	Loss 2.2308 (2.4357)	Prec@1 17.188 (16.493)	Prec@5 80.469 (65.602)
2021-12-07 23:25:52 - INFO - TRAINING - Epoch: [0][180/391]	Time 0.136 (0.141)	Data 0.000 (0.001)	Loss 2.0901 (2.4195)	Prec@1 22.656 (16.808)	Prec@5 76.562 (66.190)
2021-12-07 23:25:54 - INFO - TRAINING - Epoch: [0][190/391]	Time 0.137 (0.141)	Data 0.000 (0.001)	Loss 2.0313 (2.4044)	Prec@1 28.125 (17.089)	Prec@5 80.469 (66.725)
