epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,1.8311721954345703,1.5264552927017212,70.304,57.5,19.150000000000006,8.319999999999993
2,1.1286000652313233,1.34800350189209,54.124,49.19,7.676000000000002,6.269999999999996
3,1.0853337349891663,1.3981873846054078,51.678,51.83,7.040000000000006,6.659999999999997
4,1.0576546487808227,1.286878547668457,49.654,46.36,6.599999999999994,5.659999999999997
5,0.9335892224311828,1.031215500831604,43.286,36.86,5.072000000000003,3.5900000000000034
6,0.7862359023094178,0.9539920425415039,36.4,34.25,3.6239999999999952,2.819999999999993
7,0.7646501250267029,1.0742605233192444,35.209999999999994,37.75,3.254000000000005,4.030000000000001
8,0.8122428727149963,1.1624173879623414,37.53,40.43,3.676000000000002,4.650000000000006
9,0.7588041114807129,0.9285829305648804,34.80200000000001,32.67,3.152000000000001,2.6200000000000045
10,0.6495781517028809,0.8002941632270812,29.739999999999995,28.319999999999993,2.4000000000000057,1.8799999999999955
11,0.6316770744323731,0.8710523414611816,28.994,31.159999999999997,2.171999999999997,2.1899999999999977
12,0.6928022394180298,0.9121669554710388,31.825999999999993,31.840000000000003,2.652000000000001,2.6200000000000045
13,0.6563763513565063,0.8243024468421936,30.010000000000005,29.36,2.402000000000001,1.9699999999999989
14,0.5658800802230834,0.7041145372390747,25.787999999999997,24.189999999999998,1.7120000000000033,1.4300000000000068
15,0.5444710838794709,0.758007378578186,24.855999999999995,26.760000000000005,1.5679999999999978,1.6899999999999977
16,0.608115074634552,0.8275101375579834,27.700000000000003,29.010000000000005,1.9320000000000022,1.8400000000000034
17,0.5821578924655915,0.7254522800445556,26.596000000000004,25.17,1.7660000000000053,1.5900000000000034
18,0.4914910926818848,0.6282692193984986,22.396,21.620000000000005,1.274000000000001,1.1700000000000017
19,0.46915135622024534,0.6931667852401734,21.372,23.930000000000007,1.1779999999999973,1.4200000000000017
20,0.5307396697998047,0.7473520183563233,23.953999999999994,25.58,1.5300000000000011,1.7199999999999989
21,0.5142597737312317,0.6710313391685486,23.254000000000005,22.790000000000006,1.343999999999994,1.2900000000000063
22,0.43264401745796205,0.5780415570735932,19.415999999999997,19.86,0.9899999999999949,0.9899999999999949
23,0.4228475201129913,0.696588864326477,19.147999999999996,23.75,0.936000000000007,1.3700000000000045
24,0.4773928678035736,0.7102358341217041,21.558000000000007,23.959999999999994,1.1400000000000006,1.730000000000004
