epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,2.2319051721191405,2.094273203277588,79.464,76.65,27.224000000000004,21.510000000000005
2,2.122200066871643,1.8780136531829834,75.332,70.74,19.718000000000004,15.0
3,1.9935536353302001,1.8591704948425294,72.344,70.14,16.766000000000005,13.879999999999995
4,1.847694873123169,1.869368842124939,69.16,68.69,14.372,13.849999999999994
