2021-12-08 01:26:31 - INFO - saving to ./results/2021-12-08_01-26-31
2021-12-08 01:26:31 - DEBUG - run arguments: Namespace(batch_size=128, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-08_01-26-31', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-08 01:26:31 - INFO - creating model fake generator (student)
2021-12-08 01:26:31 - INFO - creating model real generator (student)
2021-12-08 01:26:32 - INFO - number of parameters: 11094154
2021-12-08 01:26:34 - INFO - TRAINING - Epoch: [0][0/391]	Time 1.167 (1.167)	Data 0.170 (0.170)	Loss 2.8308 (2.8308)	Prec@1 9.375 (9.375)	Prec@5 48.438 (48.438)
2021-12-08 01:26:37 - INFO - TRAINING - Epoch: [0][10/391]	Time 0.232 (0.310)	Data 0.000 (0.016)	Loss 1.9734 (3.8971)	Prec@1 9.375 (10.369)	Prec@5 52.344 (52.557)
2021-12-08 01:26:39 - INFO - TRAINING - Epoch: [0][20/391]	Time 0.231 (0.273)	Data 0.000 (0.008)	Loss 1.8704 (2.9465)	Prec@1 10.938 (10.789)	Prec@5 57.031 (53.646)
2021-12-08 01:26:41 - INFO - TRAINING - Epoch: [0][30/391]	Time 0.233 (0.260)	Data 0.000 (0.006)	Loss 1.9504 (2.6291)	Prec@1 18.750 (11.038)	Prec@5 57.812 (53.906)
2021-12-08 01:26:44 - INFO - TRAINING - Epoch: [0][40/391]	Time 0.232 (0.254)	Data 0.000 (0.004)	Loss 1.9698 (2.4741)	Prec@1 11.719 (11.490)	Prec@5 61.719 (54.992)
2021-12-08 01:26:46 - INFO - TRAINING - Epoch: [0][50/391]	Time 0.233 (0.250)	Data 0.000 (0.003)	Loss 2.0697 (2.3800)	Prec@1 9.375 (11.795)	Prec@5 53.906 (55.653)
2021-12-08 01:26:48 - INFO - TRAINING - Epoch: [0][60/391]	Time 0.232 (0.247)	Data 0.000 (0.003)	Loss 1.9356 (2.3137)	Prec@1 14.844 (12.244)	Prec@5 60.938 (56.724)
2021-12-08 01:26:51 - INFO - TRAINING - Epoch: [0][70/391]	Time 0.232 (0.245)	Data 0.000 (0.002)	Loss 2.0435 (2.2663)	Prec@1 13.281 (12.709)	Prec@5 56.250 (57.218)
2021-12-08 01:26:53 - INFO - TRAINING - Epoch: [0][80/391]	Time 0.232 (0.244)	Data 0.000 (0.002)	Loss 1.8002 (2.2193)	Prec@1 14.844 (13.098)	Prec@5 68.750 (58.295)
2021-12-08 01:26:55 - INFO - TRAINING - Epoch: [0][90/391]	Time 0.233 (0.243)	Data 0.000 (0.002)	Loss 1.9852 (2.1842)	Prec@1 13.281 (13.590)	Prec@5 60.938 (59.126)
2021-12-08 01:26:58 - INFO - TRAINING - Epoch: [0][100/391]	Time 0.233 (0.242)	Data 0.000 (0.002)	Loss 1.8092 (2.1500)	Prec@1 17.188 (13.985)	Prec@5 69.531 (60.094)
2021-12-08 01:27:00 - INFO - TRAINING - Epoch: [0][110/391]	Time 0.232 (0.241)	Data 0.000 (0.002)	Loss 1.8545 (2.1205)	Prec@1 18.750 (14.358)	Prec@5 70.312 (61.064)
2021-12-08 01:27:02 - INFO - TRAINING - Epoch: [0][120/391]	Time 0.234 (0.241)	Data 0.000 (0.001)	Loss 1.8321 (2.0969)	Prec@1 22.656 (14.618)	Prec@5 63.281 (61.764)
2021-12-08 01:27:05 - INFO - TRAINING - Epoch: [0][130/391]	Time 0.234 (0.240)	Data 0.000 (0.001)	Loss 1.8549 (2.0697)	Prec@1 17.188 (15.052)	Prec@5 71.875 (62.721)
2021-12-08 01:27:07 - INFO - TRAINING - Epoch: [0][140/391]	Time 0.233 (0.240)	Data 0.000 (0.001)	Loss 1.6965 (2.0482)	Prec@1 23.438 (15.237)	Prec@5 74.219 (63.464)
2021-12-08 01:27:09 - INFO - TRAINING - Epoch: [0][150/391]	Time 0.233 (0.240)	Data 0.000 (0.001)	Loss 1.7168 (2.0252)	Prec@1 21.094 (15.630)	Prec@5 67.969 (64.068)
2021-12-08 01:27:12 - INFO - TRAINING - Epoch: [0][160/391]	Time 0.235 (0.239)	Data 0.000 (0.001)	Loss 1.7582 (2.0077)	Prec@1 20.312 (15.897)	Prec@5 69.531 (64.621)
2021-12-08 01:27:14 - INFO - TRAINING - Epoch: [0][170/391]	Time 0.233 (0.239)	Data 0.000 (0.001)	Loss 1.6657 (1.9898)	Prec@1 20.312 (16.091)	Prec@5 74.219 (65.077)
2021-12-08 01:27:17 - INFO - TRAINING - Epoch: [0][180/391]	Time 0.233 (0.239)	Data 0.000 (0.001)	Loss 1.6672 (1.9698)	Prec@1 18.750 (16.523)	Prec@5 75.000 (65.746)
2021-12-08 01:27:19 - INFO - TRAINING - Epoch: [0][190/391]	Time 0.236 (0.239)	Data 0.000 (0.001)	Loss 1.6798 (1.9527)	Prec@1 21.875 (16.746)	Prec@5 71.094 (66.247)
2021-12-08 01:27:21 - INFO - TRAINING - Epoch: [0][200/391]	Time 0.233 (0.238)	Data 0.000 (0.001)	Loss 1.7325 (1.9386)	Prec@1 20.312 (16.947)	Prec@5 71.875 (66.694)
2021-12-08 01:27:24 - INFO - TRAINING - Epoch: [0][210/391]	Time 0.232 (0.238)	Data 0.000 (0.001)	Loss 1.5730 (1.9253)	Prec@1 19.531 (17.158)	Prec@5 81.250 (67.102)
2021-12-08 01:27:26 - INFO - TRAINING - Epoch: [0][220/391]	Time 0.232 (0.238)	Data 0.000 (0.001)	Loss 1.7446 (1.9118)	Prec@1 11.719 (17.375)	Prec@5 70.312 (67.407)
2021-12-08 01:27:28 - INFO - TRAINING - Epoch: [0][230/391]	Time 0.234 (0.238)	Data 0.000 (0.001)	Loss 1.6178 (1.9007)	Prec@1 25.000 (17.489)	Prec@5 78.125 (67.675)
2021-12-08 01:27:31 - INFO - TRAINING - Epoch: [0][240/391]	Time 0.234 (0.238)	Data 0.000 (0.001)	Loss 1.6606 (1.8902)	Prec@1 26.562 (17.612)	Prec@5 72.656 (68.024)
2021-12-08 01:27:33 - INFO - TRAINING - Epoch: [0][250/391]	Time 0.233 (0.238)	Data 0.000 (0.001)	Loss 1.6424 (1.8792)	Prec@1 21.094 (17.863)	Prec@5 71.875 (68.339)
2021-12-08 01:27:35 - INFO - TRAINING - Epoch: [0][260/391]	Time 0.234 (0.238)	Data 0.000 (0.001)	Loss 1.6523 (1.8700)	Prec@1 21.875 (18.017)	Prec@5 75.000 (68.579)
2021-12-08 01:27:38 - INFO - TRAINING - Epoch: [0][270/391]	Time 0.234 (0.238)	Data 0.000 (0.001)	Loss 1.6571 (1.8613)	Prec@1 17.969 (18.087)	Prec@5 77.344 (68.845)
2021-12-08 01:27:40 - INFO - TRAINING - Epoch: [0][280/391]	Time 0.234 (0.237)	Data 0.000 (0.001)	Loss 1.6706 (1.8539)	Prec@1 25.781 (18.252)	Prec@5 71.875 (69.059)
2021-12-08 01:27:42 - INFO - TRAINING - Epoch: [0][290/391]	Time 0.233 (0.237)	Data 0.000 (0.001)	Loss 1.6262 (1.8467)	Prec@1 17.969 (18.315)	Prec@5 81.250 (69.314)
2021-12-08 01:27:45 - INFO - TRAINING - Epoch: [0][300/391]	Time 0.235 (0.237)	Data 0.000 (0.001)	Loss 1.6075 (1.8382)	Prec@1 24.219 (18.449)	Prec@5 77.344 (69.607)
2021-12-08 01:27:47 - INFO - TRAINING - Epoch: [0][310/391]	Time 0.234 (0.237)	Data 0.000 (0.001)	Loss 1.6568 (1.8322)	Prec@1 17.969 (18.514)	Prec@5 75.000 (69.810)
2021-12-08 01:27:50 - INFO - TRAINING - Epoch: [0][320/391]	Time 0.235 (0.237)	Data 0.000 (0.001)	Loss 1.6049 (1.8257)	Prec@1 21.875 (18.628)	Prec@5 74.219 (69.986)
2021-12-08 01:27:52 - INFO - TRAINING - Epoch: [0][330/391]	Time 0.234 (0.237)	Data 0.000 (0.001)	Loss 1.6410 (1.8192)	Prec@1 18.750 (18.703)	Prec@5 78.125 (70.187)
2021-12-08 01:27:54 - INFO - TRAINING - Epoch: [0][340/391]	Time 0.232 (0.237)	Data 0.000 (0.001)	Loss 1.6285 (1.8126)	Prec@1 20.312 (18.803)	Prec@5 78.125 (70.386)
2021-12-08 01:27:57 - INFO - TRAINING - Epoch: [0][350/391]	Time 0.235 (0.237)	Data 0.000 (0.001)	Loss 1.6095 (1.8072)	Prec@1 24.219 (18.890)	Prec@5 78.125 (70.524)
2021-12-08 01:27:59 - INFO - TRAINING - Epoch: [0][360/391]	Time 0.234 (0.237)	Data 0.000 (0.001)	Loss 1.5898 (1.8023)	Prec@1 28.906 (18.945)	Prec@5 81.250 (70.674)
2021-12-08 01:28:01 - INFO - TRAINING - Epoch: [0][370/391]	Time 0.233 (0.237)	Data 0.000 (0.001)	Loss 1.6796 (1.7976)	Prec@1 19.531 (18.980)	Prec@5 72.656 (70.854)
2021-12-08 01:28:04 - INFO - TRAINING - Epoch: [0][380/391]	Time 0.234 (0.237)	Data 0.000 (0.001)	Loss 1.6394 (1.7927)	Prec@1 25.000 (19.062)	Prec@5 75.000 (71.012)
2021-12-08 01:28:07 - INFO - TRAINING - Epoch: [0][390/391]	Time 0.809 (0.239)	Data 0.000 (0.001)	Loss 1.6943 (1.7881)	Prec@1 21.250 (19.162)	Prec@5 75.000 (71.186)
2021-12-08 01:28:07 - INFO - EVALUATING - Epoch: [0][0/79]	Time 0.140 (0.140)	Data 0.126 (0.126)	Loss 1.9198 (1.9198)	Prec@1 32.812 (32.812)	Prec@5 81.250 (81.250)
2021-12-08 01:28:07 - INFO - EVALUATING - Epoch: [0][10/79]	Time 0.014 (0.026)	Data 0.000 (0.011)	Loss 2.1479 (2.0807)	Prec@1 17.969 (23.438)	Prec@5 73.438 (77.770)
2021-12-08 01:28:07 - INFO - EVALUATING - Epoch: [0][20/79]	Time 0.014 (0.020)	Data 0.000 (0.006)	Loss 2.1152 (2.0735)	Prec@1 21.875 (24.368)	Prec@5 75.000 (78.051)
2021-12-08 01:28:07 - INFO - EVALUATING - Epoch: [0][30/79]	Time 0.014 (0.018)	Data 0.000 (0.004)	Loss 1.9923 (2.0830)	Prec@1 29.688 (23.664)	Prec@5 76.562 (77.697)
2021-12-08 01:28:07 - INFO - EVALUATING - Epoch: [0][40/79]	Time 0.014 (0.017)	Data 0.000 (0.003)	Loss 2.2135 (2.0812)	Prec@1 20.312 (23.323)	Prec@5 72.656 (77.877)
2021-12-08 01:28:08 - INFO - EVALUATING - Epoch: [0][50/79]	Time 0.014 (0.017)	Data 0.000 (0.003)	Loss 2.0469 (2.0835)	Prec@1 23.438 (23.330)	Prec@5 78.906 (77.635)
2021-12-08 01:28:08 - INFO - EVALUATING - Epoch: [0][60/79]	Time 0.014 (0.016)	Data 0.000 (0.002)	Loss 1.9659 (2.0811)	Prec@1 23.438 (23.284)	Prec@5 85.938 (77.741)
2021-12-08 01:28:08 - INFO - EVALUATING - Epoch: [0][70/79]	Time 0.014 (0.016)	Data 0.000 (0.002)	Loss 2.1500 (2.0820)	Prec@1 22.656 (23.096)	Prec@5 75.781 (77.707)
2021-12-08 01:28:08 - INFO - 
 Epoch: 1	Training Loss 1.7881 	Training Prec@1 19.162 	Training Prec@5 71.186 	Validation Loss 2.0809 	Validation Prec@1 23.250 	Validation Prec@5 77.720 

2021-12-08 01:28:08 - INFO - TRAINING - Epoch: [1][0/391]	Time 0.288 (0.288)	Data 0.135 (0.135)	Loss 1.6142 (1.6142)	Prec@1 25.781 (25.781)	Prec@5 80.469 (80.469)
