epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,1.940008639678955,2.1114070739746094,84.47600000305175,78.89000000915527,37.51199999023437,26.55000006103515
2,1.6113519968414307,2.010513483428955,77.25600000305175,75.51000002746582,24.420000029296872,21.79000013427735
3,1.558561605529785,1.986917892074585,75.43200000244141,74.58000001831054,21.550000019531254,20.889999963378912
4,1.5476085289764405,1.9720337215423585,74.78400000549317,73.88,20.945999982910152,19.9400000366211
5,1.5395981549453734,1.9590909353256225,75.06800000610352,74.17999999084472,20.28999998046875,18.880000036621098
6,1.5384610084152222,1.946334806060791,74.49000000305176,72.90000003356934,19.57200000488281,17.540000036621095
7,1.5069039771270751,1.878093773651123,73.01399999938965,72.01000000915528,17.693999997558592,15.839999951171876
8,1.451566276512146,1.824896627807617,71.04200000854492,68.47000000610352,15.82399999023437,14.80000006103515
9,1.419351035232544,1.7919269847869872,69.73599999145507,68.21000002746582,14.733999999999995,13.780000061035153
10,1.4157739744567872,1.7792759410858154,69.48800000610352,67.48999998779297,14.736000026855464,13.779999951171874
11,1.414507226486206,1.8062657047271728,69.374,67.99000003356934,14.786000002441412,14.170000012207026
12,1.4299439598846435,1.8043547420501709,69.95000000305176,68.82000001525878,14.824000014648433,14.00000010986328
13,1.4255582583618165,1.794799239730835,69.8080000036621,68.05999999084473,14.441999987792968,13.620000122070309
14,1.4003588282775878,1.7399612564086915,68.56000000732422,66.11000000610352,13.748000024414068,12.370000097656245
15,1.365727292022705,1.7022532791137694,66.85200000854492,64.71000000305176,12.878000024414064,11.370000146484372
16,1.3527077800369263,1.7035144878387452,66.3340000024414,64.71000006713868,12.619999987792966,11.620000073242181
17,1.3580726388549804,1.7199675285339355,66.5039999987793,65.41000001831054,12.752000017089841,11.880000146484377
18,1.3828679684448242,1.7514365699768066,67.61800000488282,66.89999998168946,13.252000021972663,12.169999963378913
19,1.3897865544128418,1.7367375944137573,67.8439999987793,66.53999999389649,13.173999995117185,11.959999987792969
20,1.3674503940200806,1.710870496749878,66.72800001464844,64.54999997558593,12.890000026855475,11.520000146484378
21,1.333968243751526,1.6640268882751466,65.11600001342774,62.59000001220703,11.920000029296872,10.660000122070315
22,1.3209004887771607,1.6686063375473021,64.47000000122071,62.72000001220703,11.590000012207028,10.830000024414062
23,1.3315522109222413,1.6709086484909057,64.85600000854492,63.25000001220703,12.15400002685547,10.720000097656254
24,1.348850579032898,1.7127391933441163,65.77600001220702,64.77000000915527,12.372000026855474,11.520000146484378
25,1.3583236010360717,1.7020636867523193,66.11399999267579,64.24999998168946,12.221999982910162,11.469999951171872
26,1.341747218093872,1.71600182762146,65.20600000976563,64.19999999389648,11.94600000488282,11.989999999999995
27,1.316679981765747,1.6331007780075073,64.24000001220703,61.49000005493164,11.498000002441401,10.060000122070306
28,1.301696464767456,1.6271054143905639,63.24999999389649,61.10000001220703,11.402000007324219,9.989999951171882
29,1.3109221913528442,1.64240803565979,63.532,61.29000002441406,11.554000024414066,10.650000146484373
30,1.3252115048980713,1.651724351119995,64.46600000732423,62.540000030517575,11.633999980468744,11.04000013427735
31,1.3444193450927735,1.6988381729125976,64.88400000976563,63.12000003662109,12.137999997558595,10.890000134277344
32,1.325835728302002,1.6630355741500855,64.20600000610352,62.19000003662109,11.583999990234375,10.57000006103516
33,1.3032218406295777,1.6200204368591309,63.005999998779295,60.29000005493164,11.18000001953125,9.780000024414065
34,1.2837025860595703,1.6188290517807007,62.17400000366211,60.17999998779297,10.792000019531244,9.840000024414067
35,1.2903217165374756,1.620982406234741,62.256,59.89000006713867,10.940000029296868,10.220000097656254
36,1.3043756100082398,1.637213199043274,63.226000001220704,61.69999996948242,11.523999982910155,9.990000085449225
37,1.320030376777649,1.6977439756393433,63.90799999145508,63.570000024414064,11.402000026855475,10.779999975585937
38,1.3131073755645752,1.6486410205841064,63.241999993896485,61.21000001220703,11.272000002441402,10.82000013427735
39,1.288953061981201,1.6283539066314696,62.247999997558594,60.54999997558594,10.975999985351564,10.080000085449214
40,1.2694354456329346,1.5915540460586548,61.354000010986326,59.69000004272461,10.533999985351556,9.540000073242183
41,1.272539679107666,1.6137020582199098,61.37000000488281,60.15000006103516,10.36,10.040000073242183
42,1.2867093109512329,1.607871485900879,61.957999991455075,59.63000003051758,10.908000012207026,9.960000134277337
43,1.3081454673004151,1.6485785724639892,63.03,61.680000036621095,11.012000002441411,9.890000085449216
44,1.3034381310272216,1.6242115337371825,62.40799999511719,61.66999999389648,10.987999980468743,9.62999998779297
45,1.2697492489242554,1.580874020576477,61.028000001220704,58.45000005493164,10.437999992675785,9.440000073242189
46,1.2565994438171386,1.5623781024932861,60.330000010986325,58.03000003051758,10.254000026855465,9.130000012207034
47,1.255203532371521,1.5831633359909059,60.20800000976563,59.36000005493164,10.22600002929687,9.29000004882812
48,1.2687610215759277,1.607769605255127,60.82000000732422,59.95999998779297,10.361999980468752,10.099999963378906
49,1.2897714447021484,1.6539818473815917,62.41399999145508,60.84000001220703,10.696000009765626,10.519999999999996
50,1.293296042251587,1.6138743602752685,62.282000013427734,60.29000001831054,10.914000026855476,10.130000036621098
51,1.269493109436035,1.5638953468322754,61.24599999755859,58.680000030517576,10.368000012207034,8.69000006103515
