epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,3.0460941007232667,1.7921068368911743,78.47799999023437,67.42000000305175,26.00000000244141,14.090000061035155
2,1.5950208446502685,1.4731650089263917,60.00000000366211,55.19999997558594,9.90999999511719,7.5700001220703115
3,1.4810454903793335,1.4351857202529907,55.524000008544924,53.86000002441406,7.967999997558593,6.70000004882813
4,1.455593275489807,1.4386461679458618,54.37999999145508,53.64000000610351,7.716000019531251,6.839999951171876
5,1.3781518462371827,1.4587748992919922,50.40199999633789,52.93000006713867,6.88000002685547,7.530000061035153
6,1.2260169388580322,1.187097110748291,44.3959999975586,42.44000001831055,5.090000007324221,5.249999987792975
7,1.0676135758781433,0.9710249805450439,38.28400000244141,34.94999999389648,3.895999987792962,2.8100001220703064
8,0.9686988292121888,0.9427709537506104,34.758000006103515,33.910000042724604,3.096000014648439,2.8199999755859437
9,0.9822532642936707,1.0038577241897584,35.13200001464844,35.12000004882813,3.133999990234372,3.2099999633789054
10,1.030299480895996,1.0130366212844848,36.58399998535156,35.800000012207036,3.544000012207036,3.4200000976562563
11,0.977181656627655,0.9656368474960327,34.85000002685547,34.70000002441407,3.1339999877929756,3.119999975585941
12,0.8667502905654907,0.8112275321006774,30.813999992675775,28.340000109863283,2.435999987792968,1.9100000610351628
13,0.7732125166130066,0.7772744979858398,27.31000000976563,27.130000109863275,1.958000019531255,1.6600000610351628
14,0.7723355285644531,0.8490466641426087,27.511999990234372,29.37000007324218,1.9080000195312437,2.1500000854492214
15,0.835888716621399,0.8502189669609069,29.579999987792974,29.90000002441407,2.2500000146484354,2.250000073242191
16,0.8265832060813904,0.8567706991195678,29.040000007324224,30.00000012207032,2.1599999902343683,2.3500000122070333
17,0.730655568447113,0.6968193111419678,25.90000000976562,24.090000036621092,1.6360000195312523,1.5800000122070372
18,0.6380502240371704,0.6540428346633911,22.514000017089842,22.560000000000002,1.26600001220703,1.2400000122070338
19,0.6376517182731628,0.7208799467086792,22.44199998046875,24.8000000366211,1.2299999926757863,1.4000000610351577
20,0.6992903783798218,0.773756669330597,24.608000026855464,27.05999997558594,1.5319999926757788,1.71000006103516
