2021-12-07 19:30:08 - INFO - saving to ./results/2021-12-07_19-30-08
2021-12-07 19:30:08 - DEBUG - run arguments: Namespace(batch_size=96, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-07_19-30-08', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-07 19:30:08 - INFO - creating model resnet_binary
2021-12-07 19:30:08 - INFO - created model with configuration: {'input_size': None, 'dataset': 'cifar10'}
2021-12-07 19:30:08 - INFO - number of parameters: 11094174
2021-12-07 19:30:11 - INFO - TRAINING - Epoch: [0][0/521]	Time 1.076 (1.076)	Data 0.150 (0.150)	Loss 2.7843 (2.7843)	Prec@1 13.542 (13.542)	Prec@5 51.042 (51.042)
2021-12-07 19:30:13 - INFO - TRAINING - Epoch: [0][10/521]	Time 0.200 (0.270)	Data 0.000 (0.014)	Loss 2.6010 (2.6940)	Prec@1 13.542 (10.417)	Prec@5 54.167 (50.758)
2021-12-07 19:30:15 - INFO - TRAINING - Epoch: [0][20/521]	Time 0.202 (0.238)	Data 0.000 (0.007)	Loss 2.4030 (2.6240)	Prec@1 16.667 (10.813)	Prec@5 62.500 (52.282)
2021-12-07 19:30:17 - INFO - TRAINING - Epoch: [0][30/521]	Time 0.201 (0.226)	Data 0.000 (0.005)	Loss 2.5096 (2.5836)	Prec@1 12.500 (11.257)	Prec@5 55.208 (53.360)
2021-12-07 19:30:19 - INFO - TRAINING - Epoch: [0][40/521]	Time 0.204 (0.220)	Data 0.000 (0.004)	Loss 2.3988 (2.5533)	Prec@1 13.542 (11.560)	Prec@5 63.542 (53.735)
2021-12-07 19:30:21 - INFO - TRAINING - Epoch: [0][50/521]	Time 0.205 (0.217)	Data 0.000 (0.003)	Loss 2.3019 (2.5159)	Prec@1 13.542 (12.153)	Prec@5 60.417 (54.616)
2021-12-07 19:30:23 - INFO - TRAINING - Epoch: [0][60/521]	Time 0.204 (0.215)	Data 0.000 (0.003)	Loss 2.3371 (2.4917)	Prec@1 8.333 (12.398)	Prec@5 63.542 (55.072)
2021-12-07 19:30:25 - INFO - TRAINING - Epoch: [0][70/521]	Time 0.203 (0.213)	Data 0.000 (0.002)	Loss 2.3554 (2.4692)	Prec@1 12.500 (12.559)	Prec@5 54.167 (55.722)
2021-12-07 19:30:27 - INFO - TRAINING - Epoch: [0][80/521]	Time 0.203 (0.212)	Data 0.000 (0.002)	Loss 2.2431 (2.4455)	Prec@1 16.667 (13.002)	Prec@5 68.750 (56.276)
2021-12-07 19:30:29 - INFO - TRAINING - Epoch: [0][90/521]	Time 0.204 (0.211)	Data 0.000 (0.002)	Loss 2.2892 (2.4270)	Prec@1 16.667 (13.347)	Prec@5 58.333 (56.754)
2021-12-07 19:30:31 - INFO - TRAINING - Epoch: [0][100/521]	Time 0.202 (0.210)	Data 0.000 (0.002)	Loss 2.3320 (2.4106)	Prec@1 12.500 (13.408)	Prec@5 57.292 (57.436)
2021-12-07 19:30:33 - INFO - TRAINING - Epoch: [0][110/521]	Time 0.205 (0.210)	Data 0.000 (0.001)	Loss 2.3024 (2.3965)	Prec@1 16.667 (13.570)	Prec@5 52.083 (57.845)
2021-12-07 19:30:35 - INFO - TRAINING - Epoch: [0][120/521]	Time 0.205 (0.209)	Data 0.000 (0.001)	Loss 2.3148 (2.3834)	Prec@1 6.250 (13.774)	Prec@5 61.458 (58.196)
2021-12-07 19:30:37 - INFO - TRAINING - Epoch: [0][130/521]	Time 0.205 (0.209)	Data 0.000 (0.001)	Loss 2.2362 (2.3673)	Prec@1 12.500 (14.130)	Prec@5 68.750 (58.834)
2021-12-07 19:30:39 - INFO - TRAINING - Epoch: [0][140/521]	Time 0.205 (0.208)	Data 0.000 (0.001)	Loss 2.2014 (2.3548)	Prec@1 15.625 (14.310)	Prec@5 70.833 (59.493)
2021-12-07 19:30:41 - INFO - TRAINING - Epoch: [0][150/521]	Time 0.205 (0.208)	Data 0.000 (0.001)	Loss 2.2174 (2.3452)	Prec@1 13.542 (14.445)	Prec@5 61.458 (59.734)
