2021-12-07 15:07:55 - INFO - saving to ./results/2021-12-07_15-07-55
2021-12-07 15:07:55 - DEBUG - run arguments: Namespace(batch_size=128, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-07_15-07-55', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-07 15:07:55 - INFO - creating model resnet_binary
2021-12-07 15:07:55 - INFO - created model with configuration: {'input_size': None, 'dataset': 'cifar10'}
2021-12-07 15:07:55 - INFO - number of parameters: 11094174
2021-12-07 15:07:59 - INFO - TRAINING - Epoch: [0][0/391]	Time 1.776 (1.776)	Data 0.131 (0.131)	Loss 2.7051 (2.7051)	Prec@1 10.156 (10.156)	Prec@5 51.562 (51.562)
2021-12-07 15:08:01 - INFO - TRAINING - Epoch: [0][10/391]	Time 0.263 (0.388)	Data 0.000 (0.012)	Loss 2.4686 (2.6259)	Prec@1 11.719 (10.653)	Prec@5 60.938 (54.119)
2021-12-07 15:08:04 - INFO - TRAINING - Epoch: [0][20/391]	Time 0.265 (0.329)	Data 0.000 (0.006)	Loss 2.3995 (2.5726)	Prec@1 13.281 (11.458)	Prec@5 59.375 (54.911)
2021-12-07 15:08:07 - INFO - TRAINING - Epoch: [0][30/391]	Time 0.266 (0.308)	Data 0.000 (0.004)	Loss 2.4670 (2.5420)	Prec@1 12.500 (11.920)	Prec@5 58.594 (55.570)
2021-12-07 15:08:09 - INFO - TRAINING - Epoch: [0][40/391]	Time 0.265 (0.298)	Data 0.000 (0.003)	Loss 2.3289 (2.5019)	Prec@1 14.062 (12.367)	Prec@5 65.625 (56.726)
2021-12-07 15:08:12 - INFO - TRAINING - Epoch: [0][50/391]	Time 0.266 (0.291)	Data 0.000 (0.003)	Loss 2.4945 (2.4725)	Prec@1 10.156 (12.944)	Prec@5 53.125 (57.445)
2021-12-07 15:08:15 - INFO - TRAINING - Epoch: [0][60/391]	Time 0.268 (0.287)	Data 0.000 (0.002)	Loss 2.2710 (2.4411)	Prec@1 18.750 (13.435)	Prec@5 63.281 (58.427)
2021-12-07 15:08:17 - INFO - TRAINING - Epoch: [0][70/391]	Time 0.265 (0.284)	Data 0.000 (0.002)	Loss 2.3447 (2.4213)	Prec@1 16.406 (13.798)	Prec@5 61.719 (58.891)
2021-12-07 15:08:20 - INFO - TRAINING - Epoch: [0][80/391]	Time 0.267 (0.282)	Data 0.000 (0.002)	Loss 2.2876 (2.4027)	Prec@1 17.969 (14.034)	Prec@5 57.031 (59.221)
2021-12-07 15:08:23 - INFO - TRAINING - Epoch: [0][90/391]	Time 0.266 (0.280)	Data 0.000 (0.002)	Loss 2.3425 (2.3836)	Prec@1 7.031 (14.208)	Prec@5 61.719 (59.933)
2021-12-07 15:08:25 - INFO - TRAINING - Epoch: [0][100/391]	Time 0.268 (0.279)	Data 0.000 (0.001)	Loss 2.1020 (2.3628)	Prec@1 22.656 (14.565)	Prec@5 75.781 (60.860)
2021-12-07 15:08:28 - INFO - TRAINING - Epoch: [0][110/391]	Time 0.268 (0.278)	Data 0.000 (0.001)	Loss 2.1558 (2.3483)	Prec@1 20.312 (14.802)	Prec@5 69.531 (61.268)
2021-12-07 15:08:31 - INFO - TRAINING - Epoch: [0][120/391]	Time 0.270 (0.277)	Data 0.000 (0.001)	Loss 2.1562 (2.3357)	Prec@1 17.969 (15.005)	Prec@5 68.750 (61.525)
2021-12-07 15:08:33 - INFO - TRAINING - Epoch: [0][130/391]	Time 0.271 (0.277)	Data 0.000 (0.001)	Loss 2.1819 (2.3227)	Prec@1 19.531 (15.315)	Prec@5 68.750 (61.969)
2021-12-07 15:08:36 - INFO - TRAINING - Epoch: [0][140/391]	Time 0.264 (0.277)	Data 0.000 (0.001)	Loss 2.1139 (2.3104)	Prec@1 20.312 (15.525)	Prec@5 71.875 (62.533)
2021-12-07 15:08:39 - INFO - TRAINING - Epoch: [0][150/391]	Time 0.270 (0.277)	Data 0.000 (0.001)	Loss 2.2497 (2.3001)	Prec@1 14.844 (15.796)	Prec@5 60.938 (62.862)
2021-12-07 15:08:42 - INFO - TRAINING - Epoch: [0][160/391]	Time 0.270 (0.276)	Data 0.000 (0.001)	Loss 2.1604 (2.2907)	Prec@1 19.531 (15.906)	Prec@5 71.094 (63.344)
2021-12-07 15:08:44 - INFO - TRAINING - Epoch: [0][170/391]	Time 0.305 (0.276)	Data 0.000 (0.001)	Loss 2.1799 (2.2820)	Prec@1 17.188 (16.150)	Prec@5 71.094 (63.692)
2021-12-07 15:08:47 - INFO - TRAINING - Epoch: [0][180/391]	Time 0.267 (0.277)	Data 0.000 (0.001)	Loss 2.2231 (2.2749)	Prec@1 14.062 (16.268)	Prec@5 64.844 (64.054)
2021-12-07 15:08:50 - INFO - TRAINING - Epoch: [0][190/391]	Time 0.272 (0.276)	Data 0.000 (0.001)	Loss 2.1453 (2.2673)	Prec@1 15.625 (16.349)	Prec@5 67.188 (64.410)
2021-12-07 15:08:53 - INFO - TRAINING - Epoch: [0][200/391]	Time 0.274 (0.276)	Data 0.000 (0.001)	Loss 2.1286 (2.2602)	Prec@1 24.219 (16.566)	Prec@5 75.000 (64.782)
