2021-12-08 00:34:19 - INFO - saving to ./results/2021-12-08_00-34-19
2021-12-08 00:34:19 - DEBUG - run arguments: Namespace(batch_size=128, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-08_00-34-19', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-08 00:34:19 - INFO - creating model fake generator (student)
2021-12-08 00:34:20 - INFO - creating model real generator (student)
2021-12-08 00:34:21 - INFO - number of parameters: 11094154
2021-12-08 00:34:23 - INFO - TRAINING - Epoch: [0][0/391]	Time 0.989 (0.989)	Data 0.164 (0.164)	Loss 1.8156 (1.8156)	Prec@1 13.281 (13.281)	Prec@5 60.156 (60.156)
2021-12-08 00:34:24 - INFO - TRAINING - Epoch: [0][10/391]	Time 0.129 (0.201)	Data 0.000 (0.015)	Loss 1.9196 (1.8646)	Prec@1 9.375 (10.511)	Prec@5 48.438 (50.426)
2021-12-08 00:34:25 - INFO - TRAINING - Epoch: [0][20/391]	Time 0.131 (0.167)	Data 0.000 (0.008)	Loss 2.0370 (1.9002)	Prec@1 8.594 (10.491)	Prec@5 45.312 (50.707)
2021-12-08 00:34:26 - INFO - TRAINING - Epoch: [0][30/391]	Time 0.129 (0.156)	Data 0.000 (0.005)	Loss 1.9493 (1.9312)	Prec@1 14.844 (10.736)	Prec@5 62.500 (51.890)
2021-12-08 00:34:28 - INFO - TRAINING - Epoch: [0][40/391]	Time 0.130 (0.150)	Data 0.000 (0.004)	Loss 2.0108 (1.9416)	Prec@1 12.500 (11.090)	Prec@5 53.125 (53.144)
2021-12-08 00:34:29 - INFO - TRAINING - Epoch: [0][50/391]	Time 0.131 (0.146)	Data 0.000 (0.003)	Loss 2.1049 (1.9497)	Prec@1 6.250 (11.535)	Prec@5 53.906 (54.105)
2021-12-08 00:34:30 - INFO - TRAINING - Epoch: [0][60/391]	Time 0.129 (0.143)	Data 0.000 (0.003)	Loss 2.0501 (1.9578)	Prec@1 13.281 (11.872)	Prec@5 58.594 (55.020)
2021-12-08 00:34:32 - INFO - TRAINING - Epoch: [0][70/391]	Time 0.129 (0.142)	Data 0.000 (0.002)	Loss 1.8906 (1.9584)	Prec@1 18.750 (12.291)	Prec@5 63.281 (56.096)
2021-12-08 00:34:33 - INFO - TRAINING - Epoch: [0][80/391]	Time 0.129 (0.140)	Data 0.000 (0.002)	Loss 1.9872 (1.9556)	Prec@1 12.500 (12.432)	Prec@5 62.500 (57.137)
2021-12-08 00:34:34 - INFO - TRAINING - Epoch: [0][90/391]	Time 0.130 (0.139)	Data 0.000 (0.002)	Loss 1.8552 (1.9510)	Prec@1 16.406 (12.809)	Prec@5 67.188 (58.001)
2021-12-08 00:34:36 - INFO - TRAINING - Epoch: [0][100/391]	Time 0.129 (0.138)	Data 0.000 (0.002)	Loss 1.8408 (1.9429)	Prec@1 17.969 (13.281)	Prec@5 67.969 (58.857)
2021-12-08 00:34:37 - INFO - TRAINING - Epoch: [0][110/391]	Time 0.130 (0.138)	Data 0.000 (0.002)	Loss 1.7957 (1.9345)	Prec@1 18.750 (13.605)	Prec@5 67.188 (59.642)
2021-12-08 00:34:38 - INFO - TRAINING - Epoch: [0][120/391]	Time 0.130 (0.137)	Data 0.000 (0.001)	Loss 1.8343 (1.9240)	Prec@1 19.531 (13.830)	Prec@5 66.406 (60.460)
2021-12-08 00:34:40 - INFO - TRAINING - Epoch: [0][130/391]	Time 0.130 (0.137)	Data 0.000 (0.001)	Loss 1.6498 (1.9129)	Prec@1 24.219 (14.140)	Prec@5 78.906 (61.242)
2021-12-08 00:34:41 - INFO - TRAINING - Epoch: [0][140/391]	Time 0.130 (0.136)	Data 0.000 (0.001)	Loss 1.7967 (1.9017)	Prec@1 20.312 (14.511)	Prec@5 69.531 (61.957)
2021-12-08 00:34:42 - INFO - TRAINING - Epoch: [0][150/391]	Time 0.132 (0.136)	Data 0.000 (0.001)	Loss 1.6248 (1.8923)	Prec@1 21.875 (14.854)	Prec@5 78.125 (62.526)
2021-12-08 00:34:44 - INFO - TRAINING - Epoch: [0][160/391]	Time 0.130 (0.136)	Data 0.000 (0.001)	Loss 1.6900 (1.8822)	Prec@1 14.844 (15.149)	Prec@5 71.094 (63.048)
2021-12-08 00:34:45 - INFO - TRAINING - Epoch: [0][170/391]	Time 0.130 (0.136)	Data 0.000 (0.001)	Loss 1.7449 (1.8716)	Prec@1 15.625 (15.401)	Prec@5 70.312 (63.656)
2021-12-08 00:34:46 - INFO - TRAINING - Epoch: [0][180/391]	Time 0.132 (0.136)	Data 0.000 (0.001)	Loss 1.6963 (1.8634)	Prec@1 18.750 (15.634)	Prec@5 74.219 (64.192)
2021-12-08 00:34:48 - INFO - TRAINING - Epoch: [0][190/391]	Time 0.134 (0.136)	Data 0.000 (0.001)	Loss 1.5802 (1.8531)	Prec@1 19.531 (15.944)	Prec@5 84.375 (64.766)
2021-12-08 00:34:49 - INFO - TRAINING - Epoch: [0][200/391]	Time 0.130 (0.136)	Data 0.000 (0.001)	Loss 1.6594 (1.8461)	Prec@1 23.438 (16.126)	Prec@5 73.438 (65.155)
2021-12-08 00:34:50 - INFO - TRAINING - Epoch: [0][210/391]	Time 0.130 (0.136)	Data 0.000 (0.001)	Loss 1.6739 (1.8370)	Prec@1 18.750 (16.347)	Prec@5 69.531 (65.614)
2021-12-08 00:34:52 - INFO - TRAINING - Epoch: [0][220/391]	Time 0.143 (0.136)	Data 0.000 (0.001)	Loss 1.8164 (1.8287)	Prec@1 14.062 (16.477)	Prec@5 67.969 (66.067)
2021-12-08 00:34:53 - INFO - TRAINING - Epoch: [0][230/391]	Time 0.131 (0.136)	Data 0.000 (0.001)	Loss 1.5864 (1.8212)	Prec@1 14.844 (16.602)	Prec@5 77.344 (66.423)
2021-12-08 00:34:54 - INFO - TRAINING - Epoch: [0][240/391]	Time 0.130 (0.136)	Data 0.000 (0.001)	Loss 1.6531 (1.8145)	Prec@1 13.281 (16.747)	Prec@5 74.219 (66.779)
2021-12-08 00:34:56 - INFO - TRAINING - Epoch: [0][250/391]	Time 0.130 (0.136)	Data 0.000 (0.001)	Loss 1.6257 (1.8080)	Prec@1 25.000 (16.898)	Prec@5 73.438 (67.110)
2021-12-08 00:34:57 - INFO - TRAINING - Epoch: [0][260/391]	Time 0.130 (0.135)	Data 0.000 (0.001)	Loss 1.6848 (1.8016)	Prec@1 18.750 (17.068)	Prec@5 73.438 (67.406)
